name,Preprocess,Extraction,Reduction,Clustering,v-measure,completeness,homogeneity,ARI,Time (s)
dl_CV_TruncatedSVD_BIRCH,dl,CV,TruncatedSVD,BIRCH,0.0914,0.1147,0.0759,0.0451,0.3
dl_CV_TruncatedSVD_GausMix,dl,CV,TruncatedSVD,GausMix,0.2106,0.235,0.1909,0.1183,0.3
dl_CV_TSNE_kmeans,dl,CV,TSNE,kmeans,0.5199,0.5281,0.512,0.4117,8.3
dl_CV_TSNE_MBKMeans,dl,CV,TSNE,MBKMeans,0.4972,0.5025,0.492,0.3764,8.3
dl_CV_TSNE_AggloClust,dl,CV,TSNE,AggloClust,0.5371,0.5524,0.5226,0.391,8.5
dl_CV_TSNE_BIRCH,dl,CV,TSNE,BIRCH,0.5401,0.5588,0.5225,0.3789,8.3
dl_CV_TSNE_GausMix,dl,CV,TSNE,GausMix,0.5551,0.5813,0.5312,0.3882,8.3
bow_TFIDF_TruncatedSVD_kmeans,bow,TFIDF,TruncatedSVD,kmeans,0.374,0.4956,0.3004,0.1151,0.3
bow_TFIDF_TruncatedSVD_MBKMeans,bow,TFIDF,TruncatedSVD,MBKMeans,0.3831,0.4996,0.3106,0.1335,0.3
bow_TFIDF_TruncatedSVD_AggloClust,bow,TFIDF,TruncatedSVD,AggloClust,0.3533,0.4461,0.2925,0.1432,0.2
bow_TFIDF_TruncatedSVD_BIRCH,bow,TFIDF,TruncatedSVD,BIRCH,0.0,1.0,0.0,0.0,0.2
bow_TFIDF_TruncatedSVD_GausMix,bow,TFIDF,TruncatedSVD,GausMix,0.3725,0.4581,0.3139,0.1434,0.3
bow_TFIDF_TSNE_kmeans,bow,TFIDF,TSNE,kmeans,0.6574,0.6586,0.6561,0.577,7.6
bow_TFIDF_TSNE_MBKMeans,bow,TFIDF,TSNE,MBKMeans,0.5593,0.5602,0.5584,0.4624,8.6
bow_TFIDF_TSNE_AggloClust,bow,TFIDF,TSNE,AggloClust,0.6322,0.6413,0.6234,0.5401,7.7
bow_TFIDF_TSNE_BIRCH,bow,TFIDF,TSNE,BIRCH,0.5632,0.5689,0.5575,0.4647,8.4
bow_TFIDF_TSNE_GausMix,bow,TFIDF,TSNE,GausMix,0.6013,0.6111,0.5919,0.4497,7.5
bow_lem_TFIDF_TruncatedSVD_kmeans,bow_lem,TFIDF,TruncatedSVD,kmeans,0.3575,0.4434,0.2995,0.1186,0.6
bow_lem_TFIDF_TruncatedSVD_MBKMeans,bow_lem,TFIDF,TruncatedSVD,MBKMeans,0.3621,0.4581,0.2994,0.1187,0.4
bow_lem_TFIDF_TruncatedSVD_AggloClust,bow_lem,TFIDF,TruncatedSVD,AggloClust,0.3403,0.4156,0.2881,0.1198,0.3
bow_lem_TFIDF_TruncatedSVD_BIRCH,bow_lem,TFIDF,TruncatedSVD,BIRCH,0.0,1.0,0.0,0.0,0.3
bow_lem_TFIDF_TruncatedSVD_GausMix,bow_lem,TFIDF,TruncatedSVD,GausMix,0.3589,0.4355,0.3052,0.1325,0.3
bow_lem_TFIDF_TSNE_kmeans,bow_lem,TFIDF,TSNE,kmeans,0.6011,0.6032,0.5989,0.4876,18.7
bow_lem_TFIDF_TSNE_MBKMeans,bow_lem,TFIDF,TSNE,MBKMeans,0.6324,0.6349,0.6299,0.5538,8.2
bow_lem_TFIDF_TSNE_AggloClust,bow_lem,TFIDF,TSNE,AggloClust,0.6036,0.6061,0.601,0.4789,8.5
bow_lem_TFIDF_TSNE_BIRCH,bow_lem,TFIDF,TSNE,BIRCH,0.5928,0.5994,0.5865,0.4565,17.4
bow_lem_TFIDF_TSNE_GausMix,bow_lem,TFIDF,TSNE,GausMix,0.6301,0.6324,0.6277,0.5586,14.8
dl_TFIDF_TruncatedSVD_kmeans,dl,TFIDF,TruncatedSVD,kmeans,0.2406,0.2598,0.2241,0.1129,0.3
dl_TFIDF_TruncatedSVD_MBKMeans,dl,TFIDF,TruncatedSVD,MBKMeans,0.222,0.2355,0.21,0.1127,0.3
dl_TFIDF_TruncatedSVD_AggloClust,dl,TFIDF,TruncatedSVD,AggloClust,0.2374,0.2568,0.2207,0.1112,0.3
dl_TFIDF_TruncatedSVD_BIRCH,dl,TFIDF,TruncatedSVD,BIRCH,0.0,1.0,0.0,0.0,0.2
dl_TFIDF_TruncatedSVD_GausMix,dl,TFIDF,TruncatedSVD,GausMix,0.2188,0.236,0.2039,0.1191,0.3
dl_TFIDF_TSNE_kmeans,dl,TFIDF,TSNE,kmeans,0.536,0.5421,0.53,0.428,7.8
dl_TFIDF_TSNE_MBKMeans,dl,TFIDF,TSNE,MBKMeans,0.576,0.5808,0.5713,0.4815,7.8
dl_TFIDF_TSNE_AggloClust,dl,TFIDF,TSNE,AggloClust,0.5751,0.5844,0.5662,0.4594,7.7
dl_TFIDF_TSNE_BIRCH,dl,TFIDF,TSNE,BIRCH,0.5769,0.5856,0.5685,0.4716,7.7
dl_TFIDF_TSNE_GausMix,dl,TFIDF,TSNE,GausMix,0.5698,0.5784,0.5614,0.4472,8.2
bow_-W2V-0_TruncatedSVD_kmeans,bow,-W2V-0,TruncatedSVD,kmeans,0.1467,0.192,0.1187,0.0461,9.4
bow_-W2V-0_TruncatedSVD_MBKMeans,bow,-W2V-0,TruncatedSVD,MBKMeans,0.1969,0.2259,0.1745,0.0991,9.4
bow_-W2V-0_TruncatedSVD_AggloClust,bow,-W2V-0,TruncatedSVD,AggloClust,0.1397,0.1891,0.1108,0.0411,9.4
bow_-W2V-0_TruncatedSVD_BIRCH,bow,-W2V-0,TruncatedSVD,BIRCH,0.0985,0.2393,0.062,0.029,9.4
bow_-W2V-0_TruncatedSVD_GausMix,bow,-W2V-0,TruncatedSVD,GausMix,0.1426,0.1719,0.1218,0.0586,9.5
bow_-W2V-0_TSNE_kmeans,bow,-W2V-0,TSNE,kmeans,0.5951,0.5996,0.5905,0.5172,16.8
bow_-W2V-0_TSNE_MBKMeans,bow,-W2V-0,TSNE,MBKMeans,0.5947,0.6051,0.5846,0.4902,17.5
bow_-W2V-0_TSNE_AggloClust,bow,-W2V-0,TSNE,AggloClust,0.6218,0.6322,0.6118,0.5157,16.9
bow_-W2V-0_TSNE_BIRCH,bow,-W2V-0,TSNE,BIRCH,0.6184,0.6295,0.6077,0.5061,28.0
bow_-W2V-0_TSNE_GausMix,bow,-W2V-0,TSNE,GausMix,0.6314,0.642,0.6212,0.5322,20.4
bow_-W2V-1_TruncatedSVD_kmeans,bow,-W2V-1,TruncatedSVD,kmeans,0.1211,0.1404,0.1064,0.0376,25.0
bow_-W2V-1_TruncatedSVD_MBKMeans,bow,-W2V-1,TruncatedSVD,MBKMeans,0.0902,0.1112,0.0759,0.0242,24.8
bow_-W2V-1_TruncatedSVD_AggloClust,bow,-W2V-1,TruncatedSVD,AggloClust,0.0853,0.1029,0.0728,0.0259,24.9
bow_-W2V-1_TruncatedSVD_BIRCH,bow,-W2V-1,TruncatedSVD,BIRCH,0.0,1.0,0.0,0.0,24.9
bow_-W2V-1_TruncatedSVD_GausMix,bow,-W2V-1,TruncatedSVD,GausMix,0.1116,0.1259,0.1002,0.0505,25.1
bow_-W2V-1_TSNE_kmeans,bow,-W2V-1,TSNE,kmeans,0.4643,0.468,0.4607,0.3707,32.8
bow_-W2V-1_TSNE_MBKMeans,bow,-W2V-1,TSNE,MBKMeans,0.449,0.4513,0.4467,0.3503,32.9
bow_-W2V-1_TSNE_AggloClust,bow,-W2V-1,TSNE,AggloClust,0.4792,0.4892,0.4696,0.3534,38.4
bow_-W2V-1_TSNE_BIRCH,bow,-W2V-1,TSNE,BIRCH,0.4835,0.49,0.4773,0.3643,33.1
bow_-W2V-1_TSNE_GausMix,bow,-W2V-1,TSNE,GausMix,0.501,0.5123,0.4902,0.3722,32.8
bow_lem_-W2V-0_TruncatedSVD_kmeans,bow_lem,-W2V-0,TruncatedSVD,kmeans,0.1652,0.2191,0.1326,0.0451,9.3
bow_lem_-W2V-0_TruncatedSVD_MBKMeans,bow_lem,-W2V-0,TruncatedSVD,MBKMeans,0.1704,0.2179,0.1399,0.0488,9.3
bow_lem_-W2V-0_TruncatedSVD_AggloClust,bow_lem,-W2V-0,TruncatedSVD,AggloClust,0.197,0.2572,0.1596,0.0534,9.2
bow_lem_-W2V-0_TruncatedSVD_BIRCH,bow_lem,-W2V-0,TruncatedSVD,BIRCH,0.1477,0.2661,0.1022,0.0256,9.2
bow_lem_-W2V-0_TruncatedSVD_GausMix,bow_lem,-W2V-0,TruncatedSVD,GausMix,0.192,0.2221,0.1691,0.0917,9.3
bow_lem_-W2V-0_TSNE_kmeans,bow_lem,-W2V-0,TSNE,kmeans,0.5939,0.5991,0.5887,0.5304,16.7
bow_lem_-W2V-0_TSNE_MBKMeans,bow_lem,-W2V-0,TSNE,MBKMeans,0.5921,0.5977,0.5867,0.5268,17.0
bow_lem_-W2V-0_TSNE_AggloClust,bow_lem,-W2V-0,TSNE,AggloClust,0.6523,0.6669,0.6382,0.5458,17.1
bow_lem_-W2V-0_TSNE_BIRCH,bow_lem,-W2V-0,TSNE,BIRCH,0.6056,0.6108,0.6006,0.5078,17.2
bow_lem_-W2V-0_TSNE_GausMix,bow_lem,-W2V-0,TSNE,GausMix,0.5846,0.5969,0.5728,0.4693,17.3
bow_lem_-W2V-1_TruncatedSVD_kmeans,bow_lem,-W2V-1,TruncatedSVD,kmeans,0.1056,0.122,0.093,0.0337,26.9
