Type_données,n_init,max_iter,coef_silh,dispersion,davies_bouldin,Durée (s)
object,int64,int64,float64,float64,float64,float64
ACP_CV_DESC_LEM,10,100,0.6860442130825526,627.0730464425139,0.37028715281770197,0.1465456485748291
ACP_CV_DESC_LEM,10,200,0.6860442130825526,627.0730464425139,0.37028715281770197,0.08681249618530273
ACP_CV_DESC_LEM,10,300,0.6860442130825526,627.0730464425139,0.37028715281770197,0.10585665702819824
ACP_CV_DESC_LEM,10,400,0.6860442130825526,627.0730464425139,0.37028715281770197,0.10786962509155273
ACP_CV_DESC_LEM,10,500,0.6860442130825526,627.0730464425139,0.37028715281770197,0.25598812103271484
ACP_CV_DESC_LEM,20,100,0.6860442130825526,627.0730464425139,0.37028715281770197,0.16118550300598145
ACP_CV_DESC_LEM,20,200,0.6860442130825526,627.0730464425139,0.37028715281770197,0.1779787540435791
ACP_CV_DESC_LEM,20,300,0.6860442130825526,627.0730464425139,0.37028715281770197,0.1300816535949707
ACP_CV_DESC_LEM,20,400,0.6860442130825526,627.0730464425139,0.37028715281770197,0.16000843048095703
ACP_CV_DESC_LEM,20,500,0.6860442130825526,627.0730464425139,0.37028715281770197,0.16690301895141602
ACP_CV_DESC_LEM,30,100,0.6860442130825526,627.0730464425139,0.37028715281770197,0.18142962455749512
ACP_CV_DESC_LEM,30,200,0.6860442130825526,627.0730464425139,0.37028715281770197,0.20875287055969238
ACP_CV_DESC_LEM,30,300,0.6860442130825526,627.0730464425139,0.37028715281770197,0.15708422660827637
ACP_CV_DESC_LEM,30,400,0.6860442130825526,627.0730464425139,0.37028715281770197,0.14643597602844238
ACP_CV_DESC_LEM,30,500,0.6860442130825526,627.0730464425139,0.37028715281770197,0.19344425201416016
ACP_CV_DESC_LEM,50,100,0.6860442130825526,627.0730464425139,0.37028715281770197,0.2523047924041748
ACP_CV_DESC_LEM,50,200,0.6860442130825526,627.0730464425139,0.37028715281770197,0.27789783477783203
ACP_CV_DESC_LEM,50,300,0.6860442130825526,627.0730464425139,0.37028715281770197,0.26136183738708496
ACP_CV_DESC_LEM,50,400,0.6860442130825526,627.0730464425139,0.37028715281770197,0.21739959716796875
ACP_CV_DESC_LEM,50,500,0.6860442130825526,627.0730464425139,0.37028715281770197,0.30323290824890137
ACP_CV_DESC_LEM,70,100,0.6860442130825526,627.0730464425139,0.37028715281770197,0.3340022563934326
ACP_CV_DESC_LEM,70,200,0.6860442130825526,627.0730464425139,0.37028715281770197,0.35385727882385254
ACP_CV_DESC_LEM,70,300,0.6860442130825526,627.0730464425139,0.37028715281770197,0.3243544101715088
ACP_CV_DESC_LEM,70,400,0.6860442130825526,627.0730464425139,0.37028715281770197,0.34212684631347656
ACP_CV_DESC_LEM,70,500,0.6860442130825526,627.0730464425139,0.37028715281770197,0.303835391998291
ACP_CV_DESC_LEM,80,100,0.6860442130825526,627.0730464425139,0.37028715281770197,0.3179440498352051
ACP_CV_DESC_LEM,80,200,0.6860442130825526,627.0730464425139,0.37028715281770197,0.3684194087982178
ACP_CV_DESC_LEM,80,300,0.6860442130825526,627.0730464425139,0.37028715281770197,0.40200066566467285
ACP_CV_DESC_LEM,80,400,0.6860442130825526,627.0730464425139,0.37028715281770197,0.36562085151672363
ACP_CV_DESC_LEM,80,500,0.6860442130825526,627.0730464425139,0.37028715281770197,0.34321093559265137
ACP_CV_DESC_LEM,100,100,0.6860442130825526,627.0730464425139,0.37028715281770197,0.3973567485809326
ACP_CV_DESC_LEM,100,200,0.6860442130825526,627.0730464425139,0.37028715281770197,0.39304327964782715
ACP_CV_DESC_LEM,100,300,0.6860442130825526,627.0730464425139,0.37028715281770197,0.42791175842285156
ACP_CV_DESC_LEM,100,400,0.6860442130825526,627.0730464425139,0.37028715281770197,0.44252586364746094
ACP_CV_DESC_LEM,100,500,0.6860442130825526,627.0730464425139,0.37028715281770197,0.4437694549560547
